2020-09-28 00:30:48,RT @eiriseth: i made some changes beacuse i didn't quite like it 🥀 #Persona5Royal #P5R https://t.co/PJpsjKexoF

2020-09-28 00:30:47,"RT @WoolMaster_Leel: Then there were more
#workinprogress #Persona5 #Persona5Royal https://t.co/lSWbZuIQT6"

2020-09-28 00:30:37,"RT @WoolMaster_Leel: Finished Raoul! I love him so much oops • ͜&gt;•
#Persona5Royal #Persona5 #ArtistOnTwitter #gijinka https://t.co/w9tpasv6…"

2020-09-28 00:30:26,RT @eiriseth: i made some changes beacuse i didn't quite like it 🥀 #Persona5Royal #P5R https://t.co/PJpsjKexoF

2020-09-28 00:29:33,RT @eiriseth: i made some changes beacuse i didn't quite like it 🥀 #Persona5Royal #P5R https://t.co/PJpsjKexoF

2020-09-28 00:29:22,RT @eiriseth: i made some changes beacuse i didn't quite like it 🥀 #Persona5Royal #P5R https://t.co/PJpsjKexoF

2020-09-28 00:29:20,RT @eiriseth: i made some changes beacuse i didn't quite like it 🥀 #Persona5Royal #P5R https://t.co/PJpsjKexoF

2020-09-28 00:29:14,RT @eiriseth: i made some changes beacuse i didn't quite like it 🥀 #Persona5Royal #P5R https://t.co/PJpsjKexoF

2020-09-28 00:28:18,RT @eiriseth: i made some changes beacuse i didn't quite like it 🥀 #Persona5Royal #P5R https://t.co/PJpsjKexoF

2020-09-28 00:28:08,RT @IntotheFrisson: I know Makoto is queen but QUEEEEN 😂 I promised and I deliver! FemJoker Phantom Thief outfit! #Persona5 #Persona5Royal…

2020-09-28 00:25:45,"RT @altiegg: I'm super late to this but I really wanted to do it so here's my #SixFanartsChallenge 🔥

#MayaFey #AceAttorney #bokuto #haikyu…"

2020-09-28 00:24:21,RT @eiriseth: i made some changes beacuse i didn't quite like it 🥀 #Persona5Royal #P5R https://t.co/PJpsjKexoF

2020-09-28 00:23:28,RT @IntotheFrisson: I know Makoto is queen but QUEEEEN 😂 I promised and I deliver! FemJoker Phantom Thief outfit! #Persona5 #Persona5Royal…

2020-09-28 00:21:35,I got excited during my Phys only run #Persona5Royal https://t.co/Sg0GZ3zwzI

2020-09-28 00:21:16,RT @eiriseth: i made some changes beacuse i didn't quite like it 🥀 #Persona5Royal #P5R https://t.co/PJpsjKexoF

2020-09-28 00:21:07,Game of the Year? https://t.co/bciuYSYqUF #Persona5Royal #Persona5 #Joker #GameOfTheYear

2020-09-28 00:20:08,RT @eiriseth: i made some changes beacuse i didn't quite like it 🥀 #Persona5Royal #P5R https://t.co/PJpsjKexoF

2020-09-28 00:18:25,"RT @mushywooms: Commission for @Didlight_  

#Persona5 #Persona5Royal #kasumi #KasumiYoshizawa #芳澤かすみ #かすみ #p5r #atlus #fanart https://t.co…"

2020-09-28 00:15:52,"RT @sqewree: Kasumi from persona 5!
I realize I'm super late to post stuff on twitter I apologize HAHA
#P5 #Persona5 #Persona5Royal #person…"

2020-09-28 00:14:49,RT @IntotheFrisson: I know Makoto is queen but QUEEEEN 😂 I promised and I deliver! FemJoker Phantom Thief outfit! #Persona5 #Persona5Royal…

2020-09-28 00:06:09,"I'm streaming Persona 5 Royal on twitch tonight, and then Hades after that! Come chill!
#Persona5Royal #HadesGame"

2020-09-28 00:04:45,RT @IntotheFrisson: I know Makoto is queen but QUEEEEN 😂 I promised and I deliver! FemJoker Phantom Thief outfit! #Persona5 #Persona5Royal…

2020-09-27 23:59:48,"RT @bia_busana: JOKER IS HERE TO STEAL THE SHOW!

Joker and Joker on his dancing outfit for a commission I made for my friend @montanhadm !…"

